carat,cut,colour,clarity,Length,Width,height,depth ratio,table,Grading
1.19,Ideal,G,SI1,6.76,6.81,4.23,62.3,55,Mid  
1.02,Good,H,SI2,6.37,6.43,4.04,63.1,59,Mid  
2.11,Premium,D,SI2,8.45,8.41,4.95,58.7,60,High  
1.01,Very Good,H,SI1,6.34,6.28,4,63.4,59,Mid  
1.31,Ideal,F,SI1,6.98,6.9,4.33,62.4,56,Mid  
1.01,Premium,D,VVS2,6.36,6.31,3.95,62.4,60,High  
0.31,Ideal,E,VS2,4.33,4.4,2.68,61.4,54, Low  
1.02,Ideal,G,VVS2,6.42,6.46,3.98,61.8,56,High  
0.38,Ideal,F,VS1,4.62,4.65,2.89,62.5,53.8, Low  
0.61,Very Good,D,VVS2,5.56,5.58,3.32,59.6,57,Mid  
0.31,Ideal,E,VS2,4.35,4.37,2.69,61.7,55, Low  
0.72,Ideal,D,SI2,5.7,5.72,3.58,62.7,55,Mid  
1,Ideal,G,VS2,6.37,6.41,3.98,62.3,56,Mid  
1.2,Premium,G,VS1,6.82,6.8,4.25,62.4,58,High  
1.61,Ideal,E,SI2,7.54,7.62,4.67,61.6,56,High  
0.3,Ideal,F,VVS2,4.33,4.35,2.68,61.8,55, Low  
0.41,Premium,E,VVS2,4.81,4.82,2.93,60.9,60,Mid  
0.6,Ideal,F,VVS2,5.42,5.45,3.34,61.5,57,Mid  
1.02,Ideal,E,VS1,6.59,6.52,3.94,60.1,57,High  
0.54,Premium,E,SI1,5.27,5.3,3.18,60.2,58,Mid  
1.07,Premium,E,VS1,6.58,6.49,4.05,62,60,High  
0.55,Very Good,E,VS2,5.16,5.21,3.23,62.3,61,Mid  
0.62,Ideal,I,VVS1,5.52,5.57,3.39,61.1,55,Mid  
1.5,Premium,E,SI2,7.34,7.36,4.47,60.8,59,High  
0.9,Very Good,H,VS1,6.1,6.13,3.85,63,59,Mid  
0.3,Ideal,E,VVS2,4.32,4.34,2.66,61.4,57, Low  
0.3,Ideal,G,SI1,4.32,4.28,2.7,62.8,56, Low  
0.57,Premium,D,VS2,5.35,5.32,3.3,61.9,58,Mid  
1.05,Premium,G,VS2,6.59,6.52,4.05,61.8,58,Mid  
0.42,Ideal,D,VS2,4.8,4.75,2.97,62.2,55,Mid  
0.54,Ideal,F,VS2,5.24,5.21,3.25,62.2,57,Mid  
0.42,Very Good,D,SI1,4.76,4.79,3,62.8,58, Low  
0.7,Good,I,SI1,5.62,5.65,3.58,63.5,59,Mid  
1.19,Ideal,H,VS2,6.82,6.73,4.21,62.1,59,Mid  
1.01,Premium,H,VS2,6.46,6.49,3.97,61.3,58,Mid  
1.5,Very Good,H,SI1,7.24,7.28,4.57,62.9,57,High  
0.41,Ideal,D,SI1,4.76,4.7,2.94,62.2,57,Mid  
0.3,Ideal,I,SI2,4.3,4.32,2.67,61.9,56, Low  
0.51,Ideal,F,VS1,5.14,5.18,3.18,61.6,55,Mid  
1.07,Premium,G,VS1,6.76,6.65,3.93,58.6,60,High  
0.35,Ideal,D,SI2,4.55,4.52,2.82,62.2,56, Low  
0.32,Premium,G,VVS2,4.37,4.35,2.73,62.6,58, Low  
1.1,Ideal,G,VVS2,6.68,6.64,4.13,62,56,High  
1.22,Ideal,H,SI2,6.9,5.92,4.22,61.1,57,Mid  
0.8,Ideal,E,SI1,5.97,5.94,3.69,62,57,Mid  
0.5,Very Good,E,SI1,5.1,5.06,3.12,61.4,63,Mid  
0.69,Very Good,F,SI1,5.59,5.66,3.52,62.6,59.6,Mid  
0.53,Premium,E,SI2,5.2,5.16,3.22,62.2,57, Low  
1.01,Good,F,VS1,6.37,6.32,4.06,64,56,Mid  
0.3,Ideal,E,VVS2,4.32,4.35,2.69,62.1,54, Low  
0.31,Ideal,E,VS1,4.33,4.37,2.69,61.9,54.4, Low  
0.33,Premium,H,VVS1,4.42,4.44,2.72,61.4,59, Low  
1.12,Ideal,G,SI2,6.63,6.67,4.15,62.4,56,Mid  
0.55,Ideal,H,VVS2,5.3,5.31,3.26,61.6,55,Mid  
2.07,Very Good,I,SI1,8.12,8.16,5.07,62.3,60,High  
0.9,Premium,F,SI1,6.11,6.06,3.81,62.6,60,Mid  
0.93,Good,J,SI1,6.15,6.09,3.9,63.7,54,Mid  
0.32,Premium,G,VS1,4.39,4.34,2.74,62.8,58, Low  
0.75,Very Good,D,SI1,5.8,5.75,3.65,63.2,56,Mid  
0.59,Premium,J,VS2,5.35,5.28,3.33,62.7,61,Mid  
0.48,Ideal,G,SI1,5.06,5.1,3.13,61.6,55,Mid  
0.7,Premium,G,SI1,5.61,5.57,3.5,62.6,60,Mid  
1.03,Premium,H,SI2,6.46,6.42,4.01,62.3,59,Mid  
1.02,Premium,E,VS2,6.56,6.54,3.93,60,59,High  
0.71,Good,G,VS1,5.85,5.92,3.42,58.1,59,Mid  
0.32,Premium,G,VVS2,4.38,4.35,2.72,62.3,58, Low  
1.01,Premium,H,SI2,6.47,6.41,3.95,61.3,59,Mid  
0.38,Very Good,G,VS1,4.63,4.68,2.88,61.9,56, Low  
0.9,Very Good,G,SI1,6.14,6.16,3.87,62.9,54,Mid  
0.31,Ideal,G,VS1,4.37,4.36,2.68,61.4,56, Low  
0.33,Very Good,E,VVS1,4.47,4.49,2.77,61.8,54, Low  
0.3,Ideal,G,VS1,4.31,4.33,2.67,61.8,56, Low  
0.32,Ideal,G,VS1,4.41,4.38,2.73,62.1,55, Low  
0.7,Premium,G,VS1,5.63,5.56,3.52,62.9,59,Mid  
1.05,Premium,G,SI1,6.73,6.63,3.95,59.1,57,Mid  
0.9,Very Good,I,VS2,6.07,6.13,3.86,63.3,58,Mid  
0.34,Premium,D,SI1,4.54,4.5,2.72,60.2,60, Low  
0.41,Good,D,SI1,4.68,4.73,2.97,63.1,57, Low  
0.33,Ideal,I,IF,4.45,4.41,2.72,61.4,56, Low  
0.3,Ideal,I,SI1,4.25,4.29,2.67,62.5,58, Low  
0.34,Ideal,F,SI1,4.46,4.42,2.79,62.8,56, Low  
0.71,Ideal,H,SI1,5.73,5.78,3.53,61.3,58,Mid  
2.1,Good,H,SI1,8.1,8.07,5.15,63.7,61,High  
0.38,Premium,G,VS1,4.62,4.66,2.87,61.9,58, Low  
0.5,Very Good,F,VS2,5.06,5.09,3.17,62.5,56,Mid  
0.52,Ideal,H,SI1,5.2,5.23,3.18,61,56,Mid  
0.34,Ideal,I,SI1,4.52,4.49,2.79,61.9,57, Low  
0.77,Very Good,E,SI2,5.91,5.95,3.58,60.4,58,Mid  
0.41,Premium,E,SI1,4.79,4.75,2.88,60.4,58, Low  
0.41,Ideal,F,SI1,4.74,4.78,2.98,62.6,54, Low  
1.01,Very Good,G,VS1,6.4,6.38,3.88,60.7,63,Mid  
1.05,Premium,G,SI2,6.49,6.45,4.05,62.6,62,Mid  
1.13,Premium,E,SI2,6.68,6.63,4.16,62.5,57,Mid  
0.79,Ideal,F,SI1,5.98,6.05,3.66,60.8,55,Mid  
0.7,Ideal,F,SI2,5.69,5.73,3.54,62,55,Mid  
0.4,Premium,D,SI2,4.75,4.71,2.94,62.2,58, Low  
0.51,Premium,D,VS1,5.19,5.14,3.1,60,58,Mid  
0.34,Ideal,D,VS1,4.5,4.53,2.77,61.4,56, Low  
4.13,Fair,H,I1,10,9.85,6.43,64.8,61,High  
0.5,Ideal,I,SI1,5.08,5.11,3.16,62,55, Low  
0.53,Very Good,H,VS1,5.13,5.17,3.26,63.3,56,Mid  
0.56,Ideal,F,VS2,5.29,5.25,3.3,62.6,55,Mid  
0.7,Ideal,D,SI2,5.73,5.76,3.52,61.3,57,Mid  
0.36,Good,I,VS1,4.51,4.56,2.87,63.3,56, Low  
0.32,Premium,E,SI2,4.43,4.45,2.65,59.7,60, Low  
1.16,Ideal,E,SI2,6.69,6.73,4.21,62.7,56,Mid  
1.02,Ideal,D,SI1,6.44,6.39,4.03,62.8,56,Mid  
1.05,Ideal,G,VS1,6.51,6.58,4.01,61.3,57,High  
0.31,Ideal,F,VS1,4.37,4.35,2.72,62.4,55, Low  
0.7,Ideal,E,SI2,5.76,5.78,3.52,61,55,Mid  
0.51,Premium,G,SI2,5.2,5.19,3.16,60.8,59,Mid  
0.82,Ideal,F,SI1,6.06,6.08,3.71,61.1,56,Mid  
1.01,Very Good,G,VVS2,6.38,6.48,3.98,61.9,58,Mid  
0.95,Good,I,SI2,6.23,6.13,3.94,63.8,57,Mid  
0.41,Premium,G,SI2,4.8,4.75,2.93,61.4,58, Low  
0.32,Premium,G,VS2,4.4,4.42,2.71,61.5,60, Low  
0.3,Very Good,H,VS2,4.26,4.3,2.69,62.9,59, Low  
2.14,Very Good,I,SI1,8.28,8.32,5.09,61.3,61,High  
0.91,Very Good,D,SI2,6.28,6.33,3.74,59.3,60,Mid  
0.91,Ideal,I,VS2,6.22,6.18,3.86,62.2,56,Mid  
0.54,Very Good,D,SI1,5.21,5.17,3.28,63.2,55,Mid  
1.31,Premium,J,VS2,7.04,6.97,4.34,62,59,High  
0.51,Ideal,F,IF,5.12,5.16,3.21,62.5,54,Mid  
0.9,Premium,D,SI1,6.14,6.09,3.85,63,56,Mid  
1,Good,H,SI1,6.33,6.29,4.02,63.7,55,Mid  
0.34,Good,I,SI1,4.43,4.48,2.84,63.7,54, Low  
1.35,Premium,G,VS2,7.08,7.05,4.43,62.7,56,High  
0.4,Ideal,G,VVS1,4.74,4.75,2.91,61.3,56, Low  
0.33,Ideal,E,SI1,4.49,4.53,2.69,59.6,57, Low  
0.4,Very Good,G,SI1,4.76,4.8,2.87,60,63, Low  
1.2,Very Good,J,SI1,6.78,6.91,4.23,61.8,57.7,Mid  
0.53,Ideal,F,VVS2,5.15,5.22,3.22,62.1,56,Mid  
0.7,Ideal,D,VS2,5.69,5.75,3.59,62.8,57,Mid  
1.02,Premium,F,VS1,6.48,6.42,3.96,61.4,59,Mid  
0.3,Ideal,G,VVS1,4.33,4.35,2.67,61.5,55, Low  
0.55,Ideal,G,VVS2,5.27,5.28,3.24,61.4,56,Mid  
0.41,Premium,F,VS1,4.8,4.77,2.93,61.2,57,Mid  
0.52,Ideal,G,VVS2,5.16,5.14,3.19,61.9,55,Mid  
1.17,Good,G,SI2,6.65,6.55,4.2,63.6,62,Mid  
1.02,Good,G,VS2,6.38,6.41,4.04,63.2,57,Mid  
1.51,Very Good,J,SI1,7.29,7.24,4.61,63.5,58,High  
0.71,Very Good,H,SI2,5.62,5.65,3.59,63.7,56,Mid  
0.7,Very Good,G,VS1,5.69,5.72,3.48,61,57,Mid  
0.74,Very Good,G,SI2,5.75,5.77,3.63,63,56,Mid  
1.1,Ideal,D,VS2,6.58,6.61,4.09,62,56,High  
0.43,Ideal,G,IF,4.84,4.81,2.97,61.6,57,Mid  
0.33,Premium,H,VS1,4.39,4.46,2.72,61.5,58, Low  
0.4,Ideal,J,VS2,4.72,4.75,2.95,62.3,55, Low  
1.2,Good,F,SI2,6.9,6.97,4.09,59,60,Mid  
0.91,Ideal,E,VVS1,6.18,6.23,3.83,61.7,56,High  
0.9,Good,F,SI1,6.08,6.03,3.87,63.9,58,Mid  
1.01,Very Good,I,SI1,6.44,6.47,3.88,60.1,59,Mid  
0.3,Premium,E,VS2,4.39,4.37,2.59,59.1,58, Low  
0.31,Ideal,D,VS1,4.3,4.33,2.66,61.6,55, Low  
1.22,Ideal,G,VS1,6.83,6.88,4.24,62,56,High  
0.58,Very Good,F,SI2,5.34,5.26,3.34,63,56,Mid  
0.39,Good,E,VVS2,4.73,4.74,2.91,61.5,61, Low  
0.7,Ideal,F,VS2,5.72,5.75,3.52,61.4,56,Mid  
0.72,Ideal,G,VVS2,5.72,5.81,3.53,61.2,57,Mid  
1.01,Very Good,E,VS2,6.3,6.26,3.96,63.1,60,Mid  
0.7,Good,G,SI1,5.57,5.51,3.54,63.9,58,Mid  
0.35,Ideal,D,SI1,4.49,4.47,2.78,62.1,57, Low  
0.37,Ideal,G,IF,4.6,4.64,2.84,61.5,56,Mid  
1.01,Premium,F,VS2,6.59,6.55,3.89,59.2,61,High  
0.32,Very Good,D,SI1,4.5,4.53,2.71,60,56, Low  
0.9,Good,H,SI1,6.04,6.1,3.83,63.1,63,Mid  
0.37,Ideal,E,VS2,4.62,4.66,2.83,61,56, Low  
1.63,Ideal,H,VS2,7.6,7.57,4.65,61.3,56,High  
1.52,Premium,D,SI2,7.5,7.42,4.46,59.8,60,High  
0.5,Ideal,E,SI2,5.09,5.04,3.19,63,57,Mid  
0.41,Premium,E,VVS1,4.86,4.78,2.89,60,61,Mid  
0.55,Ideal,G,VS1,5.29,5.32,3.27,61.6,55,Mid  
1.51,Premium,J,SI1,7.58,7.53,4.41,58.4,60,High  
0.78,Ideal,I,VS2,5.92,5.95,3.67,61.8,55,Mid  
0.4,Premium,J,IF,4.7,4.64,2.93,62.7,60,Mid  
0.33,Ideal,F,VVS1,4.42,4.45,2.75,62,59, Low  
0.31,Ideal,G,VVS1,4.38,4.4,2.66,60.6,57, Low  
0.31,Ideal,D,VS2,4.37,4.4,2.69,61.3,57, Low  
0.5,Ideal,H,IF,5.15,5.17,3.15,61,56,Mid  
0.76,Very Good,H,SI1,5.79,5.81,3.67,63.3,58,Mid  
1.28,Premium,H,VS2,7.07,7.03,4.19,59.4,60,Mid  
1.5,Premium,I,SI2,7.46,7.39,4.42,59.5,62,High  
0.73,Very Good,H,SI1,5.77,5.8,3.6,62.2,57,Mid  
0.3,Premium,H,VVS2,4.26,4.3,2.67,62.4,58, Low  
1.01,Very Good,F,SI1,6.4,6.51,3.92,60.7,58,Mid  
0.7,Very Good,D,VS2,5.6,5.58,3.54,63.3,56,Mid  
0.71,Premium,H,SI2,5.71,5.64,3.56,62.7,57,Mid  
0.38,Ideal,E,SI2,4.69,4.72,2.89,61.5,55, Low  
0.72,Premium,H,SI1,5.73,5.67,3.56,62.5,57,Mid  
0.52,Very Good,E,SI1,5.17,5.19,3.16,61,61,Mid  
0.51,Ideal,G,VS1,5.18,5.15,3.18,61.6,56,Mid  
0.83,Premium,D,SI1,6.03,6,3.69,61.3,58,Mid  
1.56,Good,I,SI2,7.58,7.63,4.45,58.5,61,High  
0.91,Very Good,D,SI1,6.16,6.1,3.87,63.1,61,Mid  
0.51,Premium,D,VS2,5.05,5.09,3.18,62.7,59,Mid  
0.3,Premium,D,VS1,4.38,4.34,2.59,59.4,60, Low  
0.51,Very Good,F,VS2,5.1,5.17,3.13,61,58,Mid  
0.55,Ideal,D,VS2,5.3,5.36,3.23,60.6,56,Mid  
0.55,Ideal,J,SI1,5.24,5.3,3.21,60.9,57,Mid  
1.01,Very Good,F,SI1,6.3,6.37,4,63.1,59,Mid  
1,Very Good,F,VS2,6.34,6.38,3.94,61.9,59,Mid  
1.5,Very Good,F,VVS2,7.17,7.25,4.6,63.8,59,High  
1.29,Very Good,F,I1,7.11,7.15,4.15,58.2,61,Mid  
1.01,Fair,F,VS2,6.3,6.25,4.07,64.8,56,Mid  
0.52,Ideal,G,VS1,5.11,5.15,3.2,62.4,56,Mid  
0.32,Ideal,D,VS2,4.4,4.37,2.7,61.6,56, Low  
0.3,Ideal,G,SI1,4.33,4.36,2.65,61.2,56, Low  
0.3,Good,D,VVS2,4.23,4.28,2.73,64.2,55, Low  
1.3,Premium,J,SI2,7,6.95,4.26,61.1,61,Mid  
1.23,Ideal,G,VVS2,6.95,6.93,4.23,61,55,High  
0.7,Good,H,SI2,5.58,5.55,3.55,63.8,57,Mid  
2.14,Fair,H,I1,8,7.92,5.29,66.4,56,Mid  
0.34,Ideal,F,VS2,4.51,4.54,2.75,60.8,57, Low  
0.7,Very Good,H,SI2,5.76,5.8,3.47,60,60,Mid  
0.34,Ideal,E,VS2,4.45,4.43,2.78,62.6,55, Low  
1.24,Ideal,G,VVS2,6.88,6.92,4.22,61.2,56,High  
1.04,Very Good,G,VS2,6.51,6.55,4.01,61.4,63,Mid  
1.63,Ideal,H,SI1,7.5,7.54,4.64,61.8,57,High  
1.52,Premium,H,SI1,7.53,7.43,4.57,61.2,58,High  
1.5,Very Good,F,SI2,7.51,7.56,4.41,58.5,55,High  
0.29,Very Good,F,VVS2,4.22,4.26,2.66,62.7,58, Low  
1,Premium,E,VS1,6.41,6.44,3.98,61.9,60,High  
0.8,Very Good,H,VS2,5.87,5.91,3.7,62.8,57,Mid  
0.38,Ideal,F,VS1,4.68,4.72,2.88,61.3,56,Mid  
2.01,Premium,J,VS2,8.13,8.07,4.98,61.5,60,High  
0.79,Ideal,E,SI1,5.97,5.89,3.67,61.9,55,Mid  
0.52,Very Good,H,SI1,5.12,5.16,3.22,62.6,55,Mid  
0.93,Premium,J,SI2,6.21,6.19,3.84,61.9,57,Mid  
0.91,Premium,E,SI2,6.31,6.27,3.84,61,58,Mid  
1.26,Good,G,SI1,6.81,6.87,4.32,63.2,61,High  
1.16,Ideal,G,VVS2,6.74,6.7,4.18,62.2,56,High  
0.9,Premium,E,SI1,6.13,6.1,3.85,63,59,Mid  
0.35,Ideal,G,IF,4.52,4.5,2.81,62.3,55,Mid  
1.02,Very Good,F,SI2,6.38,6.44,4.04,63,58,Mid  
0.7,Premium,E,SI2,5.69,5.76,3.54,61.8,59,Mid  
1.54,Ideal,G,VS2,7.47,7.52,4.51,60.2,59,High  
1.21,Ideal,G,SI2,6.8,6.85,4.24,62.1,57,Mid  
0.3,Premium,J,VS1,4.27,4.24,2.68,63,59, Low  
1.56,Very Good,H,VVS2,7.3,7.35,4.64,63.3,58,High  
1,Very Good,F,VS2,6.51,6.6,3.85,58.7,62,Mid  
1.09,Ideal,E,SI2,6.74,6.65,3.98,59.4,57,Mid  
1.5,Premium,H,I1,7.37,7.26,4.47,61.1,59,Mid  
1.12,Ideal,E,VVS1,6.7,6.76,4.13,61.5,56,High  
0.56,Ideal,D,SI1,5.24,5.26,3.27,62.3,57,Mid  
0.36,Ideal,G,SI1,4.61,4.64,2.84,61.4,55, Low  
0.5,Good,F,VS2,5.01,5.05,3.18,63.2,56,Mid  
1.06,Ideal,D,VVS2,6.52,6.54,4.05,62,57,High  
0.4,Ideal,G,IF,4.75,4.79,2.95,61.8,55,Mid  
1.64,Ideal,E,SI1,7.67,7.64,4.65,60.7,55,High  
0.42,Ideal,D,VS1,4.8,4.76,2.98,62.3,57,Mid  
1,Premium,H,VS2,6.45,6.4,3.95,61.5,61,Mid  
0.7,Good,G,SI1,5.59,5.62,3.59,64,55,Mid  
1,Very Good,G,VVS2,6.32,6.37,3.98,62.7,57,High  
0.33,Ideal,G,VS2,4.45,4.49,2.75,61.7,55.9, Low  
0.62,Ideal,F,VVS1,5.46,5.48,3.38,61.9,56,Mid  
0.83,Premium,J,SI1,6.17,6.1,3.64,59.3,59,Mid  
0.28,Very Good,F,IF,4.27,4.29,2.56,59.8,56, Low  
0.36,Ideal,E,VVS2,4.6,4.62,2.85,61.8,54, Low  
0.57,Ideal,E,VS2,5.43,5.39,3.3,61,54,Mid  
0.61,Ideal,G,VVS1,5.46,5.48,3.35,61.2,56,Mid  
0.48,Ideal,I,IF,5.05,5.08,3.11,61.4,55,Mid  
1.55,Ideal,F,SI1,7.45,7.49,4.58,61.3,56,High  
0.71,Premium,E,SI1,5.71,5.64,3.56,62.7,56,Mid  
1.26,Ideal,E,SI1,6.92,6.96,4.27,61.5,59,High  
1.56,Premium,D,SI2,7.54,7.45,4.58,61.1,56,High  
2.02,Very Good,I,SI2,8.12,8.06,5.01,61.9,60,High  
1.21,Ideal,H,VS2,6.84,6.79,4.24,62.2,55,Mid  
1.95,Very Good,H,SI1,7.86,7.94,4.97,62.9,58,High  
0.91,Premium,I,VS1,6.24,6.19,3.85,61.9,57,Mid  
1.24,Premium,G,SI2,6.94,6.88,4.15,60,60,Mid  
0.31,Very Good,J,SI1,4.44,4.47,2.59,58.1,62, Low  
1,Good,F,VS1,6.18,6.28,4,64.2,60,Mid  
0.23,Very Good,D,VVS2,3.95,4,2.4,60.4,59, Low  
0.31,Ideal,H,SI1,4.38,4.35,2.7,61.9,56, Low  
0.4,Ideal,F,VS1,4.74,4.78,2.93,61.6,55, Low  
0.31,Ideal,E,VVS1,4.37,4.35,2.72,62.4,56,Mid  
0.32,Ideal,G,VVS2,4.45,4.42,2.71,61.1,55, Low  
1.07,Ideal,E,SI2,6.63,6.66,4.07,61.2,56,Mid  
1.01,Premium,E,SI1,6.38,6.33,3.99,62.8,58,Mid  
1.42,Ideal,F,VVS1,7.25,7.32,4.43,60.8,56,High  
0.41,Very Good,G,VS1,4.76,4.8,2.94,61.5,58, Low  
0.67,Very Good,G,VS1,5.69,5.75,3.42,59.9,57.4,Mid  
0.31,Very Good,E,SI1,4.31,4.28,2.71,63.1,57, Low  
0.55,Very Good,F,VVS2,5.2,5.22,3.25,62.4,59,Mid  
0.41,Premium,I,VVS2,4.78,4.76,2.96,62.1,58,Mid  
0.56,Ideal,H,VVS1,5.3,5.32,3.26,61.4,56,Mid  
2.17,Ideal,H,SI2,8.25,8.29,5.13,62,56,High  
1.21,Premium,I,SI1,6.89,6.85,4.23,61.6,56,Mid  
0.9,Good,I,VVS1,6.14,6.1,3.89,63.6,58,Mid  
0.43,Premium,F,SI1,4.81,4.77,3,62.6,58,Mid  
0.6,Very Good,E,VS2,5.34,5.38,3.37,62.9,59,Mid  
0.38,Ideal,F,SI1,4.7,4.72,2.87,60.9,55, Low  
1.06,Very Good,G,VS1,6.48,6.45,4.1,63.4,57,Mid  
0.7,Very Good,H,VS2,5.6,5.66,3.54,62.9,57,Mid  
0.59,Very Good,G,VS1,5.46,5.35,3.38,62.5,53,Mid  
2.07,Ideal,I,VS2,8.23,8.28,4.98,60.3,59,High  
0.41,Ideal,F,VS2,4.81,4.8,2.92,60.8,56,Mid  
1.51,Premium,H,VS2,7.31,7.25,4.58,62.9,59,High  
1.3,Premium,D,SI2,7,7.05,4.23,60.2,59,High  
1.02,Very Good,G,VS2,6.47,6.51,3.95,60.9,56,Mid  
0.42,Ideal,H,VS1,4.82,4.85,2.99,61.8,55, Low  
1.03,Very Good,F,VS2,6.39,6.45,4,62.3,59,Mid  
0.3,Ideal,G,VVS1,4.27,4.31,2.66,62,58, Low  
1.19,Ideal,F,VS2,6.76,6.78,4.2,62,57,High  
1.51,Ideal,F,SI1,7.28,7.33,4.59,62.8,57,High  
0.43,Very Good,I,VVS1,4.83,4.86,3.05,63,56, Low  
0.31,Premium,I,VS2,4.34,4.32,2.63,60.7,61, Low  
1.02,Ideal,F,VS1,6.49,6.52,3.97,61,56,High  
0.37,Ideal,E,VVS2,4.6,4.63,2.85,61.8,54, Low  
2.1,Fair,G,I1,7.82,7.76,5.24,67.4,59,Mid  
1.01,Very Good,G,SI1,6.28,6.35,3.98,63,57,Mid  
0.7,Good,D,SI1,5.57,5.61,3.5,62.6,60,Mid  
0.28,Very Good,F,VS2,4.17,4.19,2.58,61.7,58, Low  
0.24,Very Good,F,VVS1,3.97,4.01,2.49,62.3,56, Low  
0.68,Good,F,SI1,5.59,5.63,3.43,61.2,61,Mid  
0.73,Ideal,F,VVS1,5.75,5.79,3.57,61.9,56,Mid  
0.32,Ideal,F,VS2,4.45,4.41,2.74,61.9,55, Low  
0.74,Ideal,D,SI2,5.78,5.82,3.61,62.2,57,Mid  
0.51,Premium,E,VS2,5.2,5.22,3.14,60.3,59,Mid  
1,Fair,G,SI1,6.22,6.18,4.01,64.7,60,Mid  
0.41,Premium,G,VS1,4.85,4.81,2.92,60.5,57, Low  
0.4,Ideal,D,VS1,4.78,4.82,2.91,60.6,56,Mid  
0.32,Ideal,F,IF,4.4,4.42,2.72,61.7,55, Low  
0.35,Premium,I,VS1,4.53,4.5,2.79,61.8,58, Low  
0.52,Very Good,F,SI2,5.28,5.33,3.07,57.9,61,Mid  
1.2,Good,I,VS1,7.02,6.96,4.04,57.8,61,Mid  
1.12,Very Good,G,SI1,6.76,6.81,4.04,59.5,62,Mid  
1.21,Premium,H,SI1,6.93,6.88,4.16,60.2,58,Mid  
0.59,Ideal,F,VS2,5.43,5.48,3.31,60.6,56,Mid  
0.32,Ideal,D,SI1,4.4,4.37,2.72,62,57, Low  
0.34,Very Good,I,VVS1,4.43,4.52,2.77,61.9,58, Low  
2.06,Very Good,I,SI2,8.12,8.2,5.09,62.3,57,High  
1.21,Premium,J,SI1,6.74,6.71,4.21,62.6,58,Mid  
0.42,Ideal,D,VVS1,4.79,4.82,2.96,61.6,56,Mid  
0.71,Ideal,H,VVS1,5.78,5.81,3.5,60.4,57,Mid  
0.54,Premium,E,SI1,5.24,5.15,3.23,62.2,61,Mid  
0.5,Very Good,I,VS1,5.07,5.01,3.18,63.1,56,Mid  
0.31,Ideal,I,VS1,4.36,4.39,2.7,61.7,55, Low  
1.47,Very Good,G,VS2,7.15,7.18,4.49,62.7,56,High  
0.33,Very Good,G,SI1,4.42,4.45,2.71,61.1,59, Low  
0.31,Ideal,D,VS2,4.31,4.34,2.69,62.2,57, Low  
0.53,Very Good,G,VS1,5.24,5.27,3.2,60.9,56,Mid  
0.34,Ideal,E,VVS2,4.49,4.53,2.81,62.3,55, Low  
0.84,Very Good,D,SI1,6.18,6.21,3.67,59.2,59,Mid  
0.38,Ideal,G,SI2,4.64,4.68,2.87,61.6,55, Low  
1.6,Ideal,I,SI2,7.51,7.48,4.64,61.9,57,High  
0.53,Ideal,G,VS1,5.23,5.26,3.21,61.2,55,Mid  
0.34,Ideal,F,IF,4.48,4.51,2.8,62.3,54, Low  
1,Premium,F,VS2,6.37,6.29,3.94,62.2,59,Mid  
0.38,Premium,D,VS1,4.81,4.77,2.79,58.2,58,Mid  
0.56,Ideal,F,VS2,5.27,5.31,3.28,62,56,Mid  
0.9,Very Good,D,VS2,6.16,6.09,3.87,63.2,58,Mid  
0.39,Ideal,G,VVS2,4.68,4.7,2.9,61.9,56, Low  
1.5,Good,H,SI1,7.23,7.14,4.62,64.3,60,High  
0.91,Ideal,E,SI1,6.26,6.24,3.84,61.4,54,Mid  
0.52,Very Good,G,VS2,5.13,5.16,3.24,63,55,Mid  
0.4,Good,E,SI1,4.66,4.68,3,64.2,57, Low  
0.41,Ideal,H,SI1,4.78,4.74,2.97,62.4,56, Low  
0.9,Very Good,J,SI1,6.17,6.14,3.9,63.4,54,Mid  
0.4,Very Good,G,SI1,4.8,4.76,2.87,60,63, Low  
0.31,Ideal,D,SI1,4.36,4.38,2.71,62,55, Low  
1.02,Premium,G,VVS2,6.43,6.39,3.99,62.2,60,High  
0.31,Ideal,D,SI1,4.32,4.36,2.68,61.8,57, Low  
0.53,Ideal,G,VVS1,5.2,5.22,3.21,61.6,57,Mid  
1,Good,E,SI1,6.59,6.56,3.76,57.2,62,Mid  
1.01,Very Good,G,VS2,6.36,6.46,3.95,61.6,61,Mid  
0.52,Ideal,E,VVS2,5.15,5.18,3.19,61.8,56,Mid  
0.3,Premium,F,SI2,4.27,4.25,2.63,61.7,62, Low  
0.77,Ideal,H,VS1,5.91,5.97,3.64,61.3,56,Mid  
0.5,Premium,F,VS1,5.06,5.1,3.14,61.8,60,Mid  
0.41,Ideal,F,VVS2,4.74,4.79,2.95,61.9,55,Mid  
0.31,Premium,F,VS2,4.31,4.27,2.7,62.9,58, Low  
2.01,Premium,F,SI2,7.88,7.82,4.87,62,60,High  
1,Premium,F,I1,6.34,6.38,3.97,62.4,59,Mid  
0.5,Very Good,G,VS1,5.08,5.15,3.12,61,58,Mid  
0.34,Ideal,D,SI1,4.53,4.5,2.8,62,55, Low  
1.19,Ideal,I,SI1,6.73,6.69,4.28,63.7,57,Mid  
2.05,Premium,J,VS1,8.25,8.19,4.94,60.1,58,High  
1.73,Premium,G,VVS2,7.76,7.66,4.83,62.6,55,High  
1.08,Ideal,D,VS1,6.59,6.63,4.04,61.1,56,High  
